sample_name,number_of_players,number_of_incentives,mean_wealth,median_wealth,std_wealth,skewness,kurtosis,gini_coefficient
PIDCplyr_192_inctvs_500_,192,500,2.6041666666666665,2,1.648731625287215,0.6248503271860404,0.7272398494956152,0.3468333333333332
PIDCplyr_192_inctvs_550_,192,550,1.6041666666666667,1,1.3499935699435344,0.7312548979165262,-0.131540522,0.4577245670995671
PIDCplyr_192_inctvs_500_,192,500,2.5833333333333335,3,1.7330528619237853,0.4149737722506803,-0.409517191,0.37531502016129026
PIDCplyr_192_inctvs_550_,192,550,2.8333333333333335,3,1.5855247992033703,0.5726299387739775,0.7017185067610905,0.3057023590686274
PIDCplyr_192_inctvs_600_,192,600,3.0989583333333335,3,1.8130312320155682,0.4452302812452062,-0.178056685,0.32604166666666656
PIDCplyr_192_inctvs_650_,192,650,3.328125,3,1.9180178095388827,0.5247649627668382,-0.295525541,0.32160439488784565
PIDCplyr_192_inctvs_700_,192,700,3.5833333333333335,3,2.094967514996089,0.9160867303146955,0.7929693759012975,0.31767805232558133
PIDCplyr_192_inctvs_750_,192,750,3.875,4,2.1077733116569566,0.7187429675853801,0.9914473295410033,0.29901713709677424
PIDCplyr_192_inctvs_800_,192,800,4.104166666666667,4,2.1960151727364927,0.6936582231996319,0.8842491466945099,0.29382138324873086
PIDCplyr_192_inctvs_850_,192,850,4.380208333333333,4,2.2235069799599363,0.5257686616272621,0.14208615041560435,0.2825319560047562
PIDCplyr_192_inctvs_900_,192,900,4.583333333333333,5,2.2965856299201115,0.3894447607418618,-0.008322495,0.28108428030303023
PIDCplyr_192_inctvs_950_,192,950,4.880208333333333,5,2.606327228738534,0.5424790826683908,-0.019945193,0.2972529793667733
PIDCplyr_192_inctvs_1000_,192,1000,5.145833333333333,5,2.376004904,0.37166816798095687,-0.057228235,0.25758054993252344
PIDCplyr_192_inctvs_1050_,192,1050,5.385416666666667,5,2.741919156306805,0.7327073649885024,0.8630157734781303,0.27724049000644746
PIDCplyr_192_inctvs_1100_,192,1100,4.703125,5,2.3519474698729277,0.3002207504617713,-0.31773892,0.2811404115909929
PIDCplyr_192_inctvs_1150_,192,1150,2.0885416666666665,2,1.4851606108197712,0.7828441514660068,0.6898325041134163,0.3853777015793849
PIDCplyr_192_inctvs_1200_,192,1200,1.5,1,1.2458263656438378,0.8323092047758841,0.7122652132786822,0.4462528935185185
PIDCplyr_192_inctvs_1250_,192,1250,6.416666666666667,6,2.8087165910587863,0.47170914455631957,-0.042121014,0.24378551136363635
PIDCplyr_192_inctvs_1300_,192,1300,6.6875,7,2.8878787630369804,0.5815107525245179,0.894304691,0.2395346573208722
